,Node 1,Node 2,OHL Length (km),Cable Length (km),Circuit Type,R (% on 100MVA),X (% on 100MVA),B (% on 100MVA),Winter Rating (MVA),Spring Rating (MVA),Summer Rating (MVA),Autumn Rating (MVA),Dataframe,Node 1 bus_id,Node 2 bus_id,Voltage (kV) Node 1,Voltage (kV) Node 2
0,ABHA4A,EXET41,48.785,0.0,OHL,0.0778,0.9831,27.9792,2078,2078.0,2078.0,2078.0,nget_circuits,4,217,400,400
1,ABHA4A,LAGA41,26.121,0.0,OHL,0.0417,0.5027,15.6941,2423,2327.0,2168.0,2327.0,nget_circuits,4,395,400,400
2,ABHA4B,EXET41,49.051,0.0,OHL,0.0783,0.9885,28.1313,1389,1284.0,1108.0,1284.0,nget_circuits,6,217,400,400
3,ABHA4B,LAGA41,26.121,0.0,OHL,0.0417,0.5027,15.6941,1389,1284.0,1108.0,1284.0,nget_circuits,6,395,400,400
4,ABTH21,COWT2A,13.318,0.0,OHL,0.0503,0.5449,3.758,932,879.0,790.0,879.0,nget_circuits,2,163,275,275
5,ABTH21,PYLE21,35.388,0.0,OHL,0.1819,1.4523,9.9528,932,879.0,790.0,879.0,nget_circuits,2,559,275,275
6,ABTH21,TREM21,46.451,0.0,OHL,0.2267,2.1393,11.8321,682,629.0,538.0,629.0,nget_circuits,2,737,275,275
7,ABTH21,UPPB21,26.996,0.0,OHL,0.1234,1.1426,7.3237,955,882.0,762.0,882.0,nget_circuits,2,751,275,275
8,ABTH21,UPPB22,27.035,0.547,Composite,0.1245,1.1595,13.2801,772,772.0,595.0,595.0,nget_circuits,2,752,275,275
9,ALDW21,BRIN21,17.961,0.0,OHL,0.1442,0.7628,4.8487,626,591.0,535.0,591.0,nget_circuits,9,96,275,275
10,ALDW21,WMEL21,8.96,0.0,OHL,0.0409,0.3891,2.3695,955,882.0,762.0,882.0,nget_circuits,9,785,275,275
11,ALVE4A,INDQ41,97.176,0.0,OHL,0.2121,1.9367,56.1415,1389,1284.0,1108.0,1284.0,nget_circuits,15,335,400,400
12,ALVE4A,TAUN41,73.293,0.0,OHL,0.117,1.477,42.0344,1389,1284.0,1108.0,1284.0,nget_circuits,15,693,400,400
13,ALVE4B,INDQ41,97.294,0.0,OHL,0.2123,1.9391,56.209,1389,1284.0,1108.0,1284.0,nget_circuits,13,335,400,400
14,ALVE4B,TAUN42,73.298,0.0,OHL,0.117,1.4771,42.0372,1389,1284.0,1108.0,1284.0,nget_circuits,13,691,400,400
15,AMEM4A,ECLA41,35.315,0.0,OHL,0.0642,0.7026,20.4666,2009,1911.0,1746.0,1911.0,nget_circuits,16,193,400,400
16,AMEM4A,IVER4A,20.256,0.0,OHL,0.0368,0.403,11.7392,2009,1911.0,1746.0,1911.0,nget_circuits,16,350,400,400
17,AMEM4B,ECLA41,35.315,0.0,OHL,0.0642,0.7026,20.4666,2032,1933.0,1766.0,1933.0,nget_circuits,18,193,400,400
18,AMEM4B,IVER4B,20.256,0.0,OHL,0.0368,0.403,11.7392,2032,1933.0,1766.0,1933.0,nget_circuits,18,347,400,400
19,AXMI41,CHIC4A,30.7,8.8,Composite,0.0379,0.6609,130.8219,2779,2568.0,2217.0,2568.0,nget_circuits,19,143,400,400
20,AXMI41,EXET41,36.184,0.0,OHL,0.0404,0.6915,21.9115,2779,2568.0,2217.0,2568.0,nget_circuits,19,217,400,400
21,BAGB21,MAGA21,12.629,1.389,parallel Composite,0.0435,0.5216,17.0509,1204,1115.0,1018.0,1115.0,nget_circuits,21,430,275,275
22,BAGB21,SWAN21,18.21,1.439,parallel Composite,0.0625,0.7488,19.1165,1548,1548.0,1431.0,1431.0,nget_circuits,21,683,275,275
23,BARK21,REBR22,10.879,0.0,OHL,0.0411,0.4451,3.0706,1129,1081.0,1000.0,1081.0,nget_circuits,24,574,275,275
24,BARK22,REBR21,10.854,0.0,OHL,0.041,0.4441,3.0636,1205,1127.0,1044.0,1127.0,nget_circuits,25,576,275,275
25,BARK41,CHUE4A,13.654,0.0,OHL,0.0213,0.2629,8.1589,3102,3048.0,2958.0,3048.0,nget_circuits,23,133,400,400
26,BARK41,CHUE4B,13.654,0.0,OHL,0.0213,0.2629,8.1589,3102,3048.0,2958.0,3048.0,nget_circuits,23,132,400,400
27,BARK41,WHAM41,9.662,0.124,Composite,0.0156,0.1915,10.4541,2009,1909.0,1710.0,1909.0,nget_circuits,23,804,400,400
28,BARK41,WHAM41,9.662,0.0,OHL,0.0155,0.191,5.6429,2009,1911.0,1746.0,1911.0,nget_circuits,23,804,400,400
29,BARK41,WTHU4A,15.872,0.0,OHL,0.0289,0.3158,9.1985,2009,1911.0,1746.0,1911.0,nget_circuits,23,788,400,400
30,BARK41,WTHU4B,15.872,0.0,OHL,0.0289,0.3158,9.1985,2009,1911.0,1746.0,1911.0,nget_circuits,23,790,400,400
