,Node 1,Node 2,R (% on 100MVA),X (% on 100MVA),B (% on 100MVA),Winter Rating (MVA),Dataframe,Node 1 bus_id,Node 2 bus_id,Voltage (kV) Node 1,Voltage (kV) Node 2
0,ABHA4A,ABHA11,0.1658,8.4025,-1.5604,275,nget_tx,7,6,400,132
1,ABHA4B,ABHA12,0.1658,8.4025,-1.5604,264,nget_tx,5,4,400,132
2,ABTH21,ABTH11,0.1366,8.0648,-0.0471,279,nget_tx,0,3,275,132
3,ABTH21,ABTH12,0.1646,8.0383,-0.1808,211,nget_tx,0,2,275,132
4,ABTH21,ABTH13,0.0977,8.1994,-1.7127,212,nget_tx,0,1,275,132
5,ALDW21,ALDW31,0.4848,24.6692,-0.018,135,nget_tx,10,9,275,33
6,ALDW21,ALDW31,0.3543,25.4142,-0.4983,135,nget_tx,10,9,275,33
7,ALDW21,ALDW31,0.7076,26.5771,-0.0784,83,nget_tx,10,9,275,33
8,ALDW21,ALDW32,0.656,25.925,-0.297,98,nget_tx,10,8,275,33
9,ALDW21,ALDW32,0.656,25.925,-0.297,98,nget_tx,10,8,275,33
10,ALVE4A,ALVE11,0.1118,8.3874,-0.0906,278,nget_tx,15,14,400,132
11,ALVE4B,ALVE11,0.1621,8.0984,-0.0747,275,nget_tx,13,14,400,132
12,AMEM4A,AMEM11,0.1471,8.4008,-0.1719,270,nget_tx,17,18,400,132
13,AMEM4B,AMEM11,0.1471,8.4008,-0.1719,255,nget_tx,16,18,400,132
14,AXMI41,AXMI11,0.148,7.4973,-0.3849,278,nget_tx,19,20,400,132
15,AXMI41,AXMI11,0.148,7.4973,-0.3849,277,nget_tx,19,20,400,132
16,BARK21,BARK11,0.1264,8.6657,-0.0342,278,nget_tx,22,24,275,132
17,BARK21,BARK11,0.1264,8.6657,-0.0342,275,nget_tx,22,24,275,132
18,BARK21,BARW31,0.618,29.2635,-0.2527,109,nget_tx,22,27,275,33
19,BARK21,BARW32,0.618,29.2635,-0.2527,110,nget_tx,22,26,275,33
20,BARK22,BARK11,0.1221,8.0467,-0.0391,217,nget_tx,25,24,275,132
21,BARK22,BARK11,0.1646,8.0383,-0.1808,211,nget_tx,25,24,275,132
22,BARK22,BARW31,0.618,29.2635,-0.2527,110,nget_tx,25,27,275,33
23,BARK22,BARW32,0.618,29.2635,-0.2527,109,nget_tx,25,26,275,33
24,BARK22,BARW32,0.492,19.4438,-0.4018,100,nget_tx,25,26,275,33
25,BARK41,BARK21,0.0268,2.7989,-0.3188,817,nget_tx,23,22,400,275
26,BARK41,BARK22,0.0268,2.7989,-0.3188,817,nget_tx,23,25,400,275
27,BEDD21,BEDD11,0.167,7.9774,-0.2092,258,nget_tx,33,32,275,132
28,BEDD21,BEDD12,0.1067,8.0868,-0.034,240,nget_tx,33,28,275,132
29,BEDD21,BEDT1A,0.1007,8.1333,-0.2371,126,nget_tx,33,35,275,132
30,BEDD22,BEDD12,0.1067,8.0868,-0.034,240,nget_tx,30,28,275,132
31,BEDD23,BEDD11,0.167,7.9774,-0.2092,240,nget_tx,31,32,275,132
32,BEDD23,BEDT1B,0.2264,12.2479,-0.6062,126,nget_tx,31,36,275,132
33,BEDD4A,BEDD21,0.0258,2.6799,-1.2431,797,nget_tx,29,33,400,275
34,BEDD4A,BEDD23,0.0258,2.6799,-1.2431,797,nget_tx,29,31,400,275
35,BEDD4B,BEDD21,0.0258,2.6799,-1.2431,800,nget_tx,34,33,400,275
36,BEDD4B,BEDD22,0.0258,2.6805,-1.2431,950,nget_tx,34,30,400,275
37,BESW21,BESW11,0.1004,8.1994,-0.2371,240,nget_tx,41,39,275,132
38,BESW21,BESW11,0.1411,8.6331,-0.2264,273,nget_tx,41,39,275,132
39,BESW21,BESW12,0.1411,8.6331,-0.2264,267,nget_tx,41,40,275,132
40,BESW21,BESW12,0.1411,8.6331,-0.2264,267,nget_tx,41,40,275,132
41,BICF41,BICF11,0.1307,7.9515,-0.1098,278,nget_tx,43,42,400,132
42,BICF41,BICF11,0.1307,7.9515,-0.1098,274,nget_tx,43,42,400,132
43,BIRK21,BIRK11,0.1594,8.6081,-0.2215,261,nget_tx,44,45,275,132
44,BIRK21,BIRK11,0.1594,8.6081,-0.2215,261,nget_tx,44,45,275,132
45,BIRK21,BIRK11,0.1594,8.6081,-0.2215,261,nget_tx,44,45,275,132
46,BISW21,BISW11,0.1623,8.097,-1.5978,279,nget_tx,47,46,275,132
47,BISW21,BISW11,0.1623,8.097,-1.5978,279,nget_tx,47,46,275,132
48,BISW21,BISW11,0.0918,8.7537,-0.0575,278,nget_tx,47,46,275,132
49,BISW21,BISW11,0.1623,8.097,-1.5978,240,nget_tx,47,46,275,132
50,BLYT21,BLYT1A,0.1666,8.378,-0.1047,278,nget_tx,53,52,275,132
51,BLYT21,BLYT1B,0.1666,8.378,-0.1047,278,nget_tx,53,50,275,132
52,BLYT21,BLYT61,0.2275,10.8456,-0.0697,209,nget_tx,53,51,275,66
53,BLYT21,BLYT61,0.45,16.8273,-1.3475,138,nget_tx,53,51,275,66
54,BLYT21,BLYT61,0.45,16.8273,-1.3475,138,nget_tx,53,51,275,66
55,BLYT41,BLYT21,0.0152,1.6463,-0.1118,1148,nget_tx,54,53,400,275
56,BLYT41,BLYT21,0.0152,1.6463,-0.1118,1100,nget_tx,54,53,400,275
57,BODE41,SASA11,0.1311,7.9055,-0.1016,240,nget_tx,55,650,400,132
58,BOLN41,BOLN11,0.137,7.9818,-0.1471,310,nget_tx,58,56,400,132
59,BOLN41,BOLN11,0.137,7.9818,-0.1471,309,nget_tx,58,56,400,132
60,BOLN41,BOLN12,0.137,7.9818,-0.1471,309,nget_tx,58,57,400,132
61,BOLN41,BOLN12,0.137,7.9818,-0.1471,277,nget_tx,58,57,400,132
62,BOLN41,BOLN12,0.137,7.9818,-0.1471,276,nget_tx,58,57,400,132
63,BOTW41,BOTW11,0.1139,8.1036,-2.059,278,nget_tx,59,60,400,132
64,BOTW41,BOTW11,0.1139,8.1036,-2.059,278,nget_tx,59,60,400,132
65,BRAI4A,BRAI11,0.1373,8.1976,-0.1719,240,nget_tx,66,65,400,132
66,BRAI4B,BRAI11,0.1307,7.9515,-0.1098,278,nget_tx,67,65,400,132
67,BRAW21,BRAW11,0.1719,8.2312,-0.9928,279,nget_tx,64,61,275,132
68,BRAW21,BRAW11,0.1719,8.2312,-0.9928,279,nget_tx,64,61,275,132
69,BRAW21,BRAW12,0.1719,8.2312,-0.9928,279,nget_tx,64,63,275,132
70,BRAW21,BRAW12,0.1719,8.2312,-0.9928,279,nget_tx,64,63,275,132
71,BRAW4A,BRAW21,0.0175,1.5879,-4.0069,1094,nget_tx,62,64,400,275
72,BRED21,BRED11,0.1266,8.6449,-1.9406,278,nget_tx,79,80,275,132
73,BRED21,BRED11,0.1266,8.6449,-1.9406,278,nget_tx,79,80,275,132
74,BRED21,BRED11,0.1266,8.6449,-1.9406,278,nget_tx,79,80,275,132
75,BRFO41,BRFO11,0.1658,8.4025,-1.5604,272,nget_tx,70,71,400,132
76,BRFO41,BRFO11,0.1658,8.4025,-1.5604,271,nget_tx,70,71,400,132
77,BRFO41,BRFO11,0.1307,7.9515,-0.1098,240,nget_tx,70,71,400,132
78,BRFO41,BRFO12,0.1658,8.4025,-1.5604,267,nget_tx,70,68,400,132
79,BRFO41,BRFO12,0.1658,8.4025,-1.5604,267,nget_tx,70,68,400,132
80,BRIM2A,BRIM11,0.1688,8.3316,-1.1711,263,nget_tx,92,95,275,132
81,BRIM2B,BRIM11,0.1266,8.6449,-1.9406,274,nget_tx,91,95,275,132
82,BRIM2C,BRIM11,0.1688,8.3316,-1.1711,262,nget_tx,89,95,275,132
83,BRIM2D,BRIM11,0.1688,8.3316,-1.1711,262,nget_tx,93,95,275,132
84,BRIN41,BRIN21,0.0146,1.609,-1.8746,1117,nget_tx,98,97,400,275
85,BRIN41,BRIN22,0.0132,1.6756,-0.4337,1096,nget_tx,98,96,400,275
86,BRLE41,BRLE11,0.103,7.9231,-0.0638,275,nget_tx,78,76,400,132
87,BRLE41,BRLE12,0.1471,8.4008,-0.1719,253,nget_tx,78,73,400,132
88,BRLE41,BRLE13,0.1471,8.4008,-0.1719,253,nget_tx,78,72,400,132
89,BRLE41,BRLE14,0.103,7.9231,-0.0638,270,nget_tx,78,77,400,132
90,BRLE41,BRLE1A,0.1303,7.8698,-0.4285,263,nget_tx,78,75,400,132
